Denominación Social Empresa Comercializadora,Denominación de la Oferta,Importe primeras facturas en Euros,Importe siguientes facturas en Euros,Validez,Servicios Adicionales Incluidos,Penalización,Verde,URL de la Oferta
NEXUS ENERGIA SA,Luz Eficiente,"52,74 €","52,74 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EFE5A17D2DCE5242999DB917503FE345083C8AA81C211E5CE0E8B0827712F75695195ACB99032EBEF143A8DEFC7DB0426BF902336E9BCFAAB1D6DA7EAD3F307F51650290817F87A03318DC077508A618ECE576E9737806EECCE0DE223005AF3D4F9C3166CB33CB375F208F9DD802EDA1D89F6037A2B3808BAC90FE646E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"ESTABANELL IMPULSA, S.A.U.",Plan Tramo Ahorro,"52,87 €","52,87 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F08F7EEE751545C3361AF3D1B9993FF6782F92549E79C733AF8E8A7A6B2163825314DD010785E827D3D39045D5DA0E46A2C08318B61134772E1116597563C8949F0A065E20482AE25358BB9188C18A3A6E07EAD9CF71C628E44038B7C0EBC30510411F4D70806F5FD77361020E1DAA64F178A39EDD6A937E80DA302E2E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
GEO ALTERNATIVA S.L.,Flexi UNO,"52,88 €","52,88 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9ECF2460D9F25E0FBCBF39341DDD3314B3C8C010B098686B7758F59A0CCDDB9BA327F07710FA2A48FF1720B5C71D80E2FAED900F1102A4B594D8232601803F3B3A66BFC8BC4DD345EEA7F8D0E64242CEB6D4C4255214793E70859873CD7427D68743C0F8063FA380B9453B093F7C2801D9B2580BE4BE77317F1AD8DEE2E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U",REPSOL TARIFA VEHÍCULO ELÉCTRICO + ahorro hasta 300 € en saldo Waylet,"53,40 €","53,40 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F174A2048A10C28565CB81222706E66546C17AE9712A055F4051F0C6B6868BC1AFF3921815839718714A83CA093826B2B85B3F21548DCA992DE146689D83B7805635F6CCD285A855AB8351B003394FEFCB9CCAC911C70634CD4F8DDF3196AEDC0C7E6037389A797A1C1306E6EB40A4AA35D9A0DBAE40D9B7E71C3DF66E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"GESTERNOVA, S.A",Tarifa luz Única,"54,76 €","54,76 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0A01EF418ED5FC5FE9CDC27828C356D25751C57575A26291E32ED27EDC6345C1EDDF4A43760972B8E7E840FA10C7DE0A5EF45A29FA5F4411DE6DAD88A114E34A9E8108B4E5316E9E307D5CDE403914E0CA4E3ADCB5FBB76799A2AB4F651CDABAD7536961FBA0BF7F4A825FA6EEAE75AA005BBA5B33B21E0589FFD7EEE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"GESTERNOVA, S.A",Tarifa luz Única EKOenergía,"54,81 €","54,81 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F148E6D44FF4250EC5AD71782723A380953CA625106C86062DFA942AD3BEBF6E873616B32DE5BF99C37DB49B6797A81809073447419CC6FADDF7523BBA99E323B40F4B55FACD1A154241DA96D064ACA05C7A528532BED46E4A0459AEE2582EAB58B822F80782EE4306E6D44350CBBBF77045194F442CF3E30E24A1E4CE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TELECOR S.A. UNIPERSONAL,Despreocúpate +,"49,74 €","54,95 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0A30321999885B037BE95418F3C07127B3E6BFEC56AE8C31B2E1FB568AB374A58919FB5775A19C808006BAD288FB2AD8518CBA458F779C86900E6C21E5C01455DE2289329CF6C7BE5C21D264CEDA8CBE572469B025176D1E17D49A958A6551691253AA2C3C410F104DDD8EDFA2FFD160C4ACAF4CD492460AAAC2133EE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TELECOR S.A. UNIPERSONAL,Despreocúpate,"53,21 €","54,95 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0A3BC2CF9C34F2AC60703881267FB7BD0B0BFE8A0EF19699A6CEC58C7647805E6FE8A79C7587A6F2660E5948A707FE0BCE32D24C74BDB2A3BC769BC836EAE098AE0AE9520AE81E06670AEFC67282EAB5BA59F56500DE5A8BB761166713B76F14A113BA5ECC6922F48EB45AADD014284E75C0EC893CCA500BF2F2A212E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"GESTERNOVA, S.A",Tarifa luz Horas,"54,97 €","54,97 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF3B0B00865C95476ED8101663BA922A42D72F11BE4444DF930409E7244B4A6F48B0EDD1DA8214AEF0534790C140850AFD671FCDB8D2097C62D61BA98007EBA5D6C178C0EBD7CEF9922A6AA747153C17F58FAA3DC9C1D8DDDB88BBCF868A799AD60B427CFCE4A5D0A2C0517CBF16EB6FE4B4D8FCA178ECF8C3C4C3AD6E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"GESTERNOVA, S.A",Tarifa luz Horas EKOenergía,"55,01 €","55,01 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F06EF7EE8D8FDB38335F916CAADF49727316D239083D39EF518491C2C491028A49EF987EF7CEEAC77CDE2299A155FC45D42D5F85513C1645212C1055B11B6A18B64C7805BB116837B4A918EEEC7801F2A70151ED25524A6493851C7A6EB4CF928EC4F1BF3B0FB76DE11743CE2F5475E86F6FB764F84CF75AE5D19E79EE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
DISA ENERGIA ELECTRICA S.L.,ALISIOS OPTIMIZA,"50,70 €","55,04 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0F9076B4D7C2DA85B69D80888AAA40933636DB3CFDD8628415F3FA670C84E798D32C0F6A699077726D9163BA80F157C742C1E57A230BE416347C9271A0A50764832737CEB825E33B6E7E7AC7E21E3ABD75085AC24E8FCB13422228FC5F911C286D9B31AD3EE24E2A71B64BB6977439DE15152661469EECA3395477CAE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"GESTERNOVA, S.A",Tarifa luz Fácil,"55,14 €","55,14 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF3AAE7AD647308A27B3D8F3222497F5981E051CD0822C8C5364A39574EEAA11817A786FB282E45B61230A9D10501E716181EF0D81A7D8CB7972DA2C4D7E9543C04235BFF068444751D321BC39F7F9283A75FDE022E3A1726E8C57F0FA3FE8AD799541FB6863653180B99B1E4DAE48B8772C3712BE372CA8B9833F36CE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"GESTERNOVA, S.A",Tarifa luz Fácil EKOenergía,"55,19 €","55,19 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F06F54743DA53FF57A83C88FEC7543A71DCFFC2DF5FF52429123F81473EDA2E811260DE11FCE1B1B0C0E5F8D524662DF70129045886646F60A8F51D2E3A4C07ACCCBBB06B680F2E9F50061D9F99544E2621AFE4ACC3081D000818058FAFF607FEB3AF240CF90F80D031DFA2CA0BD189FDCF8594EDB8EB7AAF01322F08E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TELECOR S.A. UNIPERSONAL,Benefíciate +,"50,00 €","55,21 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0A2A69BE98320F2F09A5E1E4DA60CDDD0854209D7A8D06FDB8EB963B94E96EC915B2A534F5AE97478D02EB9779F4C13E9339AE421CD49177F9DA544EBD2AAE34762E5922E5FE1C9A56AD43B3FD065DC2A589A3D5B733F667480E5CACC5BC42934AF3A212F42D051E2D7228F88C75A5E9EC2290AEA076410A06A9CBD4E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TELECOR S.A. UNIPERSONAL,Benefíciate,"53,48 €","55,21 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0A35FA749ADEA6D7EE2CC64D0D2014725F795F3B32D01165ACD86071807D7A81FC815179F594A1B9730A8A0D980194720FDFC649021AA795264283F50E557A774616B94253EF72E261966115A0AEBBBA08BF2F8A92FAE3D4E79AD87E4F0E603ED9B3B245845519026E48F4C6B989FCD79D36CDEB08AE4B0B4EDA5AA8E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
EDP CLIENTES SAU,Tranquilidad HOGARES,"55,41 €","55,41 €",Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta),Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F14D3D1890F4DDEE1B60071F3A2B5DF895EA9DA03585A9ED29735FFF0C1643D3DDC3974D0DDC038479C09007B2DC774B57C57D49D7970F45CE9E641A1909EFBCC2066F61C4079A704659459B6DC3CFDD21AE66E905296D7765D9081D75D6F9CBAE40290AFD91F5B89F3760B0A1B35C9092ACB045EB41F7A38936D7744E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"FACTOR ENERGÍA, S.A.",TF2.0TD,"55,80 €","55,80 €",Válida sólo para consumidores domésticos,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF4076D5D79D7C5E99F74B273B843B4043B0A46BACA3B1C04D5B08B06AB8AFEDF4E1CE923275E9945426D9D81F56880B1FD4FB10F44AE3DA0FA6F1FF7613FB65283665CFA760EF6B5747B06D0BCC2823EC10C3BA90C718293E5295D9BEE8F78340F54A14B0776F23A12501056438742F4FB655B0F25331A95D9B86A0CE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
MÁSMÓVIL Energía,MASMOVIL ENERGIA Tarifa precio fijo,"55,89 €","55,89 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F12B4401E919E06DFC13C82D25197EA1E5ED35B0E840BB5BCCEBCE00A8136164B7C47D425E2844D5E60A2E8CBA96CAE4199D96B596192E501C2C58218A9C37B87F4BD5057112ACFCA64C7F4C9D053BD66E411C85BF911405612C5C65F275C2A3BAEBF976761C3B4A20C06A02FD479D365A813C64791D5A3FC52833E58E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
ENERGYGO,ENERGYGO Tarifa precio fijo,"55,89 €","55,89 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F10A03F6A169AC686B0FF781933393B48B6221AB767FFD70EFA308A5A2C9BFB120324DFBFE72E6CE70B446F92431EBB0134011A1C2EFAEBC3C80CF2361412C78698FC0AB14FCD4ED86EE4AD3E6812DAF31072ADDC7B5296A3678786B87A9AD568083CAE517A90219E656E0123BAD234AFD670C56CD7C3D7C159C99440E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"ESTABANELL IMPULSA, S.A.U.",Plan Estable,"55,91 €","55,91 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F08F2268C4FFE105EEF6BCAE780345C1CD76685FB0B7AEE06FEF2428BBC4C3248BDE679EDF86B7D444A3535224E9A7AD06DB52587EE703C644ADD4DC42DA7232888AC35D24D8A030130172A67BA4474AB2EE3E7C28938EBD7743D4D934A13217B3CB1ECBDBFF2EC0B56CAAA39CB507AD83F001B4FA28D32E7698ABB78E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"IBERDROLA CLIENTES, S.A.U.",2.0TD Plan Estable Web (0-10kW),"56,13 €","56,13 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9ED422576A19DD86236372CB17C4C30C29E65397C4A158695622AAE252FD42AAF2C825D2D96EF5CB28E16A9BC3160A0CB43B416E0AF965412C831BB74B89386611248D464D427F04075D97FF8B666F5DFF2760F2E2F1D6BA41E3BBE5BF3A19A51461A7F5D978F016BF41F201BDF16F8772A1947A77BAA7830CC3CE8564E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"IBERDROLA CLIENTES, S.A.U.",2.0TD Plan 3 Periodos Web (0-10kW),"56,22 €","56,22 €","Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.",Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF3BC40BE6875EC1FD207E5CE6E68693984982FB99C875861242D68A83048B2AD71DD8962A8075560EB3C1782321523E3531814E27266ADE359C9EA3E51A986A03BFFEC2E2B6E45E12D8FC7D614FC1F76BC302F9177E47B4B581838C9F1F9B758EF7438025E7270EE6CDBE39A1E830DEBFC61CD067FC6D98D847CC9AAE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L",Tarifa Milenial,"57,05 €","57,05 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1471837DF892D5C61F85DC7DF35C0793F9ED45C6BA20C65EFDD949266EF9D99A325CBC865E9CDF7F78C83D8F2E5A717FD8D40862DC9D3864F070AC9BDEB33394392FC51119F649A008D6DFF8ED25DF1B4F9F4B0F067BF552916665624E35A088A6A207020FCAB275CC5446B19C08E624C99EFBDD3E43252DADD0B93AE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L",Atulado DH 3 periodos,"57,60 €","57,60 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F14774BD8F9E9219A91C94EB20CBBAADEA57FE51596424B92F7CFAE4164C3DF76A5C412A8DE8FE4B86BCC0CCA3D60DB19972714664F40437386A4C46F074899B5A123F520D0EEF4C40E4B6EA9BEFA0E17013A10E9745F6C09612CA34B12DEAF5E6E020F1B57DEBC67ECBFAC98B293119BA2291A7B725F2A2E51E900A4E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
LUCERA,Lucera precio fijo,"57,83 €","57,83 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F10A607C517F1125B2342EA4D4C98DE9361B4BA0644215C42F426EF75226600EE768C35E26721721FFE483ECD5225249AF254261FA19DF6D25E410A093CA82DA800F03AC106C5F9FC74593BEF39E709EEC20D73B6E9360D5A374DC4A13F43E43DCF9CB66AC2A42B9085D9670AD15C6026AEFAE40B0BDFDCC1FDE1DBAAE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
GOIENER S.COOP,Goiener 2.0TD Trimestral,"59,15 €","59,15 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0F4B1270C7B74C905B7426175A2E99132B57638AAC4624145E673D23870CA1436A5405CC6A2C38C70963ACF5CCA4649256DD5550C3675F672A0B748BB9A43DD3A3B4F712247DDD8B2D07CA7E0C2C06F121C7148527E63A8184D7421327A46A23151AD07DDDF1D6D0ECAD84E188FA304BEE9BB6F6D54EB09B88311ED2E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
SOLABRIA S.COOP. - ENERPLUS S.C.,SOLABRIA 2.0 TD,"60,32 €","60,32 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1310C5CEA702C426E573A613E7921EC917FD4FFC462408FC6E2331B9DDD67412B2BD364DE1B4A0ED90DFDC7C99D347DD7F0A2B908BC395EB2606FF4B3319DD9E7400515280B5820ABC10DFD6ED96AD21FDBE2602D748ABC30F29A4EB71ED179824C018FBE30453C412BCFEA13D1C8AD330B5B02AD395F4069407B4F8E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
EDP CLIENTES SAU,Ahorro solar HOGARES,"60,89 €","60,89 €",Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta),Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F14CE092E0DF7930D43BCFFBF89563C3EB3173AB47C39199E9D3F9AD5CB9A376168D21EAE5DCD330EA90531401EC10B1BBE04C89A06CDE94E53B229CE680995AAB872C60C8980FBE0601FCB060A68CED6694BA8B5E4B360BF8DCA43EE98C68DE51CA28896910B5197D30AA52304AB9D925240E5C080037537EF552FDAE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
INER ENERGIA CASTILLA LA MANCHA SL,LA CLASICA,"61,79 €","61,79 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF643E88EFE371911CF89DC99883FD9E494BDE239EB319F1E7FF9A473B8AB431FEF13387AA2599E4B3CE6C158C4E35726976D566499BB8445109456A01306353DB6D4F30E383925A3908E3531E1D0AD946FE6BF218B686B463ED34E9FFBF034E02977C311E736CADC9BD878B3FAF611EAB8CF323D4C0909D54F1C080AE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"INER EUSKADI, S.L.",LA CLASICA,"61,79 €","61,79 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF649B0E9FF8D64E641CD4ECDA19F7D2F40508188C753245279F0098EAE7548FC627A8E9D224CA3842FEA9093D3E9C0C055C062680C5E8F53A6C86E733B9B9B5F1EC9231DEF31D0C79602C3E2B3A4DC90218184FBF94BE1FD0E998C88C09943B5F0D7CB2B2F4AD4CEBC43DE9B11803D61915950DB80250ED5F3344F74E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TOTALENERGIES CLIENTES S.A.U.,A TU AIRE PLAN VEHÍCULO ELÉCTRICO + DIGITAL,"61,59 €","61,92 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1657415A68E3B77B9DA7559646BD9C1446098BA6F5207B6D02B275FF1543C5F01044FFD85A5A962F36083CF01C7517F24C13F9847A1CD92E39887DE52FB8B68A554F8A39238E7171D315B1FDC6C549B1966836BB151EE94EBE72B5C2D5AE7EAE1224AF4DB65DF5E86F91B685015F2923D6F107C65774C96385C82802E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
INER ENERGIA CASTILLA LA MANCHA SL,TRANQUILIDAD,"62,03 €","62,03 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF64F794500E3B0BAB410C101BAFF2079EBE320D7A374A98673E66EA9A43F4ED8D5E1E4BFA23FA8BD22EE5FCEE2F02A5A14136E6B7F019A623CFC86466431018086BD532DA62A7BEB9B77529385790B8BD31C4AD6672F58B3DE5FCA718542528BB837D344775EDEC0DCAF4482280A68D869E36F79B44113D6974C96DEE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"INER EUSKADI, S.L.",TRANQUILIDAD,"62,03 €","62,03 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EFC6300E568915EF6C4EFC1C0647DB5F034F486B4F2ADA1241BCEABFDE987777E19776700149C25947DEF20DDACAD20E711570E0AF45438B611B98F28092D529AC253D3B0E97650C556F14260016E6A0572BE315BDF3316CC31AED8082AE6E92E382055D5346D522CED895854D73A14B9F3059BB675B2558304CFA140E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
ENDESA ENERGÍA S.A.U.,Tempo 3 Periodos,"62,28 €","62,28 €","Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.",Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F15A3FE553F7088C1C77C81473428D6097F48411A4D115A21BDDC37BB51CD103E16C191AADBECF449C89224C94AAE4E5440058519985E826A09399B5345A1587EBEBDB851FB71B81529F86A945E13993714AA4147C693892B957136930535B2CAED83B43DFBF0C19682905F8946A3E5BF9E37529E08102E4FA6D7822CE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
ENDESA ENERGÍA S.A.U.,Tempo 24 horas,"62,35 €","62,35 €","Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.",Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1431E794E9DD93A5369FF440DC40035E9AA06D6344B00D234042F0FDDF4B99213CEC090ADF2BA60D079E56058913E7E4AB42843CEF9BBEC47C33A6892047D024C1B1B4643D46EF13CCD4BE5FE907DA4AADF8CAAC4DB5DB77A3E1BC61DAF1FD591581ADEBF6EE450E67B6E5C3A41908097BAFAB11010EEE26A0C5A7ACE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"ELECTRA CALDENSE ENERGIA, S.A.",FIX,"62,38 €","62,38 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F00E1BFA372A6511B975D88401DD5A4FB93EE5D0210BC2C8B6A5743F2F99205DBCECB5BD18A8534D965E537C65AA9376A03E564B91111D10CD438144C954FB69291252FE824C359C5948C2DD31D5EEFAC820DFE274B045EE7B4C8F7F90A51715C33C6A17C3C010D6421058EF75CA1DE1C466368B0F77A390293AF24A6E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
